ref_date;INTERVAL;50;100;200;250;500;1000;1500;2000;2500;5000
01/01/2020;6;2947;9098;3275;4234;2166;481;107;6;24;9
01/01/2020;10;3114;9109;3304;4203;2216;489;97;1;24;8
01/01/2020;12;3009;8928;3179;4172;2222;461;92;7;26;10
01/01/2020;12;2963;9046;3318;4193;2224;398;92;1;27;4
01/01/2020;7;3029;9250;3267;4171;2203;447;82;4;30;9
01/01/2020;11;2991;9164;3322;4063;2185;430;93;4;20;8
01/01/2020;13;2992;8850;3251;4246;2143;486;93;8;28;11
01/01/2020;10;2980;9038;3154;4168;2104;421;80;4;21;5
01/01/2020;7;2886;8929;3299;4113;2124;418;77;6;27;9
01/01/2020;11;2992;9056;3210;4243;2222;412;72;8;27;2
01/01/2020;15;2993;8983;3234;4283;2107;407;104;4;32;8
01/01/2020;8;2996;9105;3253;4294;2228;440;85;7;36;7
01/01/2020;10;2970;9096;3324;4167;2182;420;101;8;23;9
01/01/2020;11;3066;9158;3183;4157;2134;420;102;5;27;5
01/01/2020;11;2954;8986;3237;4163;2161;439;90;3;26;13
01/01/2020;16;2966;8989;3236;4109;2191;487;88;3;28;7
01/01/2020;10;2978;9142;3314;4224;2232;429;91;10;33;4
01/01/2020;10;2968;8976;3281;4336;2157;437;100;5;30;4
01/01/2020;7;2984;8973;3334;4160;2137;448;90;5;20;4
01/01/2020;18;2958;9108;3321;4195;2196;414;79;5;29;6
01/01/2020;13;2924;8842;3383;4289;2095;437;103;4;32;8
01/01/2020;11;2966;9138;3265;4157;2135;460;109;9;28;5
01/01/2020;7;2892;9011;3188;4161;2104;444;93;4;28;9
01/01/2020;16;2993;9126;3305;4144;2131;436;87;10;28;10
02/01/2020;7;2933;8979;3291;4168;2148;482;104;6;20;10
02/01/2020;10;2979;9100;3259;4233;2229;411;80;8;30;4
02/01/2020;11;2977;8894;3347;4150;2167;427;92;3;33;5
02/01/2020;19;2953;9037;3345;4229;2129;452;95;6;26;6
02/01/2020;9;2956;9113;3360;4264;2256;446;94;4;34;4
02/01/2020;15;2952;9046;3294;4185;2218;472;88;5;23;7
02/01/2020;11;3062;9201;3252;4199;2186;448;83;6;20;6
02/01/2020;10;2854;9091;3214;4290;2191;413;86;7;26;6
02/01/2020;20;2928;9136;3311;4234;2237;422;105;3;26;9
02/01/2020;13;2938;9081;3304;4345;2164;444;95;2;26;9
02/01/2020;11;2834;8958;3331;4138;2284;428;96;7;38;9
02/01/2020;15;2893;9152;3273;4254;2236;478;77;8;34;7
02/01/2020;16;2919;8831;3269;4194;2122;440;76;7;29;5
02/01/2020;9;2970;9004;3307;4232;2175;419;88;3;21;8
02/01/2020;12;2958;8940;3270;4264;2097;446;76;7;24;5
02/01/2020;14;3010;8945;3291;4279;2164;430;75;8;22;12
02/01/2020;10;2986;9029;3312;4144;2085;399;81;6;23;12
02/01/2020;8;3072;9003;3290;4164;2150;418;93;8;22;7
02/01/2020;13;3032;9106;3277;4283;2171;420;83;5;31;8
02/01/2020;12;3124;8834;3265;4238;2158;434;75;6;28;14
02/01/2020;7;3018;8998;3265;4234;2233;452;79;6;24;3
02/01/2020;8;2969;9094;3318;4193;2125;419;99;3;31;10
02/01/2020;11;3003;9124;3305;4286;2180;454;82;9;30;8
02/01/2020;16;2887;9055;3258;4234;2233;467;88;5;24;10
03/01/2020;9;3043;9088;3365;4220;2122;454;94;6;19;4
03/01/2020;10;3045;8908;3343;4182;2122;439;91;9;25;8
03/01/2020;9;2916;8985;3274;4300;2174;448;81;8;23;6
03/01/2020;8;2911;9152;3254;4201;2142;451;97;7;17;12
03/01/2020;7;2929;9092;3188;4138;2207;463;82;5;13;2
03/01/2020;12;2994;8989;3307;4170;2191;443;92;4;25;6
03/01/2020;16;2966;8941;3256;4194;2189;440;73;5;25;5
03/01/2020;14;3007;9220;3328;4301;2198;443;106;8;45;7
03/01/2020;16;2993;8939;3289;4169;2232;431;95;5;21;8
03/01/2020;18;2868;9094;3251;4120;2200;414;95;4;28;9
03/01/2020;9;2939;8985;3244;4121;2191;431;88;3;38;6
03/01/2020;15;2911;8913;3320;4195;2113;448;75;7;28;5
03/01/2020;10;2972;9120;3229;4200;2169;436;85;6;25;4
03/01/2020;16;2998;9039;3193;4155;2139;426;94;9;26;4
03/01/2020;14;2877;9048;3186;4274;2239;454;90;9;18;5
03/01/2020;7;2981;9016;3246;4110;2118;456;87;8;32;11
03/01/2020;17;2930;9168;3205;4218;2209;428;75;5;20;7
03/01/2020;6;3056;8968;3355;4207;2315;427;102;5;25;7
03/01/2020;10;2986;9004;3213;4160;2092;465;76;7;32;10
03/01/2020;11;2860;9272;3303;4356;2198;438;84;5;23;9
03/01/2020;13;2964;9125;3329;4144;2198;429;101;8;23;7
03/01/2020;11;2902;9115;3274;4201;2174;445;87;5;34;7
03/01/2020;8;2890;9022;3329;4193;2198;459;95;6;26;10
03/01/2020;12;2989;9235;3344;4259;2230;487;95;5;29;8
04/01/2020;11;2970;9039;3245;4189;2132;418;82;5;23;4
04/01/2020;10;2950;9006;3272;4316;2300;468;88;6;25;7
04/01/2020;12;2986;9038;3352;4084;2130;465;88;9;32;10
04/01/2020;10;2884;9045;3342;4241;2208;464;84;6;27;12
04/01/2020;14;2901;8817;3199;4288;2231;454;82;4;27;6
04/01/2020;8;3024;9213;3288;4241;2120;420;73;13;31;8
